34,165,13215,13219,9914,7390
18,47,13218,11689,5214,13216
162,123,9784,13162,6165,13219
223,177,7390,5214,9784,13216
22,167,13162,11689,9914,13218
116,141,6165,11689,13215,7390
60,81,13216,13215,13162,13219
240,32,9914,6165,13218,5214
298,89,9784,7390,13162,9914
47,161,11689,5214,13219,9784
54,118,13218,13216,13215,6165
26,224,13218,13215,9784,5214
175,91,13162,6165,11689,13219
131,109,9914,13216,7390,11689
256,151,9914,9784,13216,6165
173,266,13215,5214,13162,7390
213,125,13219,7390,13218,9784
