38 48 13035 13215 13219 9657
2 68 6357 12224 13218 11387
42 56 10163 12105 12869 12027
18 111 3873 6357 11920 13356
68 42 13035 13218 12027 12105
26 99 13219 10163 3873 12224
30 104 13215 9657 12869 13356
68 56 11920 12027 11387 13219
150 56 12869 9657 13218 3873
38 97 12224 11920 12105 13215
102 30 11387 6357 13035 10163
102 18 13356 9657 12027 12224
127 56 12105 12869 6357 13219
40 10 13035 11387 3873 13215
121 170 13218 11920 10163 13356
74 54 3873 12027 13215 6357
50 52 13356 13218 13035 13219
86 61 10163 11387 12105 9657
60 114 12869 12224 11920 13035
146 38 12869 13356 12027 13219
130 30 12869 13356 12027 13219
48 129 11387 9657 11920 10163
61 119 11387 9657 11920 10163
94 147 12869 13356 11920 10163
130 99 12869 13356 11920 10163
120 145 12869 13356 11920 10163
