62 20 4998 10023 9965 2891
34 77 13328 7593 8375 12804
153 30 7854 13326 12962 11895
109 171 8872 13101 7641 11575
50 121 13328 13326 10023 7854
61 152 8872 12962 7593 9965
127 46 4998 8375 11895 13101
107 122 11575 2891 12804 7641
131 98 13328 7854 8872 4998
94 42 9965 12804 13101 13326
194 58 11895 11575 2891 7593
197 36 10023 7641 8375 12962
116 40 9965 13101 13328 11895
83 83 8375 13326 2891 8872
110 71 11575 12804 12962 4998
108 122 10023 7593 7641 7854
38 64 2891 12962 13328 13101
207 52 7641 7593 4998 13326
151 321 9965 8375 7854 11575
58 48 12804 8872 11895 10023
243 84 7854 11575 9965 10023
254 112 7854 11575 9965 10023
182 88 7641 8872 12804 7593
258 62 7641 8872 12804 7593
210 146 7854 11575 7641 8872
68 175 7854 11575 7641 8872
279 203 7854 11575 7641 8872
