89 46 11387 8367 11574 6949
146 65 548 4216 13228 7303
36 104 11256 7175 10717 10794
68 120 11363 4156 5211 12684
117 66 11256 4216 7175 11387
49 60 13228 10717 4156 8367
66 98 10794 7303 11363 12684
2 28 6949 5211 11574 548
95 44 12684 10717 11387 13228
74 312 5211 10794 4216 8367
116 120 4156 7303 7175 6949
88 32 11363 11574 548 11256
37 88 10717 11387 7303 5211
119 36 8367 12684 7175 548
76 100 6949 13228 10794 11256
82 227 4156 11574 11363 4216
166 109 7303 12684 11256 8367
26 142 548 4156 10794 11387
66 82 13228 7175 5211 11574
100 230 6949 11363 4216 10717
195 100 4216 10794 11363 11574
159 110 4216 10794 11363 11574
172 85 12684 7303 8367 7175
192 123 12684 7303 8367 7175
237 16 4216 10794 12684 7303
319 42 4216 10794 12684 7303
