4216,166.01,9
13230,150.83,14
12635,149.33,9
7390,146.53,7
5220,142.68,9
9784,125.79,14
11575,123.74,10
6165,116.08,6
11201,112.05,14
7641,107.22,10
7316,104.68,5
8381,98.98,7
7854,97.79,10
13345,94.98,14
11311,87.48,5
9614,81.47,5
9914,80.59,13
11920,77.12,10
8367,76.83,7
8872,76.17,10
13162,75.21,15
8865,74.74,5
6982,72.25,5
9965,70.84,7
12869,70.14,10
7593,68.90,7
5214,68.23,6
8375,65.15,5
10794,63.80,9
7303,61.56,18
4345,60.50,5
11898,60.18,7
5206,58.60,7
12684,58.04,9
11363,56.79,7
13356,56.28,10
8404,51.64,10
11101,50.69,5
6148,50.67,5
9656,43.23,5
10163,42.93,10
12454,42.32,5
10150,41.77,5
13807,41.71,5
10761,40.45,9
7464,40.42,7
4998,40.08,5
12105,39.74,5
13117,39.00,5
4950,38.86,7
11574,38.81,7
7175,37.65,7
3873,37.10,5
10023,35.27,7
10717,34.12,5
11387,33.83,12
6949,33.18,5
13101,32.26,5
13216,31.21,6
9657,31.10,7
9448,29.93,5
9578,29.57,5
11895,29.45,5
13219,28.63,13
13274,27.76,6
10148,27.08,5
13326,26.37,5
12009,26.32,5
13190,26.03,5
13220,22.96,10
13228,22.72,10
4475,22.55,5
6357,22.36,5
13050,22.26,5
13218,22.22,11
5211,22.12,5
11039,20.50,5
10917,20.10,5
13215,19.84,11
4156,19.83,5
13035,19.57,6
548,18.85,10
12492,16.74,5
10434,15.79,5
669,14.36,7
13221,13.50,10
13328,12.85,5
5773,12.15,5
13223,11.86,10
13217,11.69,10
8804,9.66,5
12962,6.64,5
12027,6.26,7
11256,6.17,5
12804,4.30,7
12224,0.80,5
10320,-6.07,5
2891,-8.06,5
11689,-8.99,6
